NGC	_RA	_Dec	Mag
1974	81.96416666666667	-67.39722222222223	 9.0
1980	83.80624999999999	-5.918055555555556	 2.5
1983	81.88708333333332	-68.94694444444445	 8.5
2011	83.03625	-67.51638888888888	 9.5
2014	83.05874999999999	-67.66638888888889	 8.5
2070	84.63249999999998	-69.08694444444444	 8.5
2074	84.74916666666664	-69.5038888888889	 8.5
2099	88.08416666666668	32.53861111111111	 6.0
2100	85.50458333333333	-69.2225	 9.5
2112	88.47124999999998	0.3875	 9.0
2129	90.28041666666667	23.299722222222226	 7.0
2168	92.20833333333333	24.345	 5.5
2169	92.10499999999999	13.961944444444443	 7.0
2175	92.44708333333334	20.32777777777778	 7.0
2186	93.00874999999999	5.459722222222222	 9.0
2204	93.92333333333333	-18.659166666666664	 9.5
2215	95.20249999999997	-7.295555555555556	 8.5
2232	96.68416666666666	-4.7325	 4.0
2244	98.08208333333332	4.864166666666667	 5.0
2250	98.18333333333332	-5.036111111111111	 9.0
2251	98.69083333333332	8.362777777777778	 8.5
2252	98.73333333333332	5.379166666666666	 7.5
2264	100.29416666666665	9.892222222222221	 4.0
2266	100.81499999999998	26.974444444444444	 9.5
2281	102.33916666666664	41.05416666666667	 7.0
2286	101.91291666666665	-3.1783333333333332	 8.5
2287	101.76874999999998	-20.761388888888888	 5.0
2301	102.94666666666664	0.4691666666666667	 6.5
2311	104.43458333333332	-4.584444444444444	 9.5
2323	105.72583333333331	-8.3375	 7.0
2324	106.04791666666665	1.0619444444444446	 9.0
2331	106.81458333333332	27.360277777777778	 8.5
2335	106.64666666666665	-10.072777777777777	 9.5
2343	107.07041666666666	-10.657222222222222	 8.0
2345	107.08916666666666	-13.157222222222222	 8.0
2353	108.67166666666667	-10.294166666666667	 5.0
2354	108.55666666666666	-25.72722222222222	 9.0
2355	109.25291666666665	13.771111111111113	 9.5
2360	109.40874999999998	-15.645833333333332	 9.0
2362	109.65958333333332	-24.96333333333333	 4.0
2367	110.04291666666664	-21.930833333333336	 8.0
2374	111.015	-13.249722222222221	 7.5
2383	111.19583333333333	-20.933333333333334	 8.5
2384	111.27041666666665	-21.033611111111114	 8.0
2395	111.77666666666666	13.582222222222223	 9.5
2396	112.04374999999999	-11.735277777777776	 7.5
