148.9001	+69.0667	 3031	 Gx	09 55.6	+69 04	s	UMa	 	 25.7	 6.9	 	! eB, eL, E 156deg , gsvmbMBN; = M81              	M  81                              	 3031	
148.9001	+69.0667	 3031	 Gx	09 55.6	+69 04	s	UMa	 	 25.7	 6.9	 	! eB, eL, E 156deg , gsvmbMBN; = M81              	Bode's nebulae                     	 3031	
148.9501	+69.6834	 3034	 Gx	09 55.8	+69 41	s	UMa	 	 11.2	 8.4	 	vB, vL, vmE (ray); = M82                          	M  82                              	 3034	
148.9501	+69.6834	 3034	 Gx	09 55.8	+69 41	s	UMa	 	 11.2	 8.4	 	vB, vL, vmE (ray); = M82                          	Bode's nebulae                     	 3034	
151.3003	 -7.7167	 3115	 Gx	10 05.2	-07 43	s	Sex	 	  8.3	 9.2	 	vB, L, vmE 46deg , vgsmbMEN                       	Spindle galaxy                     	 3115	
151.7502	-40.4334	 3132	 Pl	10 07.0	-40 26	s	Vel	 	  0.8	 8.0	p	!! PN , vB, vL, lE *9 M, 4s  d                    	Eight-burst planetary              	 3132	
156.2003	-18.6333	 3242	 Pl	10 24.8	-18 38	s	Hya	 	 20.8	 9.0	p	! PN , vB, lE 147deg , 45" d, blue                	Ghost of Jupiter                   	 3242	
160.8002	-64.4001	I2602	 OC	10 43.2	-64 24	s	Car	 	 50.0	 1.9	 	Cl, co, incl theta Car                            	Southern Pleiades                  	I2602	(theta Car)
160.9502	-59.8667	 3372	 Nb	10 43.8	-59 52	s	Car	 	120.0	    	 	! great neb, eta Car                              	eta Car nebula                     	 3372	
161.0003	+11.7000	 3351	 Gx	10 44.0	+11 42	s	Leo	 	  7.4	 9.7	 	B, L, R, pgmbMN; = M95                            	M  95                              	 3351	
161.7003	+11.8167	 3368	 Gx	10 46.8	+11 49	s	Leo	 	  7.1	 9.2	 	vB, vL, lE, vsvmbM, r; = M96                      	M  96                              	 3368	
161.9503	+12.5834	 3379	 Gx	10 47.8	+12 35	s	Leo	 	  4.5	 9.3	 	vB, cL, R, psbM, r; = M105                        	M 105                              	 3379	
167.8753	+55.6667	 3556	 Gx	11 11.5	+55 40	s	UMa	 	  8.3	10.1	 	cB, vL, vmE 79deg , pbM, r; = M108                	M 108                              	 3556	
168.7003	+55.0167	 3587	 Pl	11 14.8	+55 01	s	UMa	 	  3.2	11.2	 	!!, PN , vB, vL, R, vvg, vsbM, 150" d; = M97      	Owl nebula                         	 3587	
168.7003	+55.0167	 3587	 Pl	11 14.8	+55 01	s	UMa	 	  3.2	11.2	 	!!, PN , vB, vL, R, vvg, vsbM, 150" d; = M97      	M  97                              	 3587	
169.7253	+13.0834	 3623	 Gx	11 18.9	+13 05	s	Leo	 	 10.0	 9.3	 	B, vL, mE 165deg +/- , gbMBN; = M65               	M  65                              	 3623	
170.0503	+12.9834	 3627	 Gx	11 20.2	+12 59	s	Leo	 	  8.7	 9.0	 	B, vL, mE 150deg , mbM, 2 st np; = M66            	M  66                              	 3627	
173.4753	+49.0501	I 708	 Gx	11 33.9	+49 03	u	UMa	 	  1.7	14.0	p	eF, S, R, 1st of 4                                	Papillon                           	I 708	
174.1503	-63.0334	I2944	C+N	11 36.6	-63 02	s	Cen	 	 75.0	 4.5	 	*3.4 in eL neb                                    	lambda Cen nebula                  	I2944	
174.4253	+22.0167	 3745	 Gx	11 37.7	+22 01	s	Leo	 	  0.4	    	 	pB, pS, R                                         	Copeland's Septet                  	 3745	NGC 3745-6, 48, 50-1, 53-4
174.4253	+22.0000	 3746	 Gx	11 37.7	+22 00	s	Leo	 	  1.3	15.0	p	pB, pS, R                                         	Copeland's Septet                  	 3746	NGC 3745-6, 48, 50-1, 53-4
174.4503	+22.0334	 3748	 Gx	11 37.8	+22 02	s	Leo	 	  0.8	    	 	pB, pS, R                                         	Copeland's Septet                  	 3748	NGC 3745-6, 48, 50-1, 53-4
174.4753	+21.9667	 3750	 Gx	11 37.9	+21 58	s	Leo	 	  0.9	    	 	pB, R, cbM, 1st of 3 in line                      	Copeland's Septet                  	 3750	NGC 3745-6, 48, 50-1, 53-4
174.4753	+21.9334	 3751	 Gx	11 37.9	+21 56	s	Leo	 	  0.4	15.0	p	F, L, E 45deg                                     	Copeland's Septet                  	 3751	NGC 3745-6, 48, 50-1, 53-4
174.4753	+21.9834	 3753	 Gx	11 37.9	+21 59	s	Leo	 	  2.0	15.0	p	pB, pL, 2nd of 3 in line                          	Copeland's Septet                  	 3753	NGC 3745-6, 48, 50-1, 53-4
174.4753	+21.9834	 3754	 Gx	11 37.9	+21 59	s	Leo	 	  0.4	    	 	vF, R, 3rd of 3 in line                           	Copeland's Septet                  	 3754	NGC 3745-6, 48, 50-1, 53-4
174.7003	-63.5334	I2948	 Nb	11 38.8	-63 32	x	Cen	 	 60.0	    	 	eeL                                               	lambda Cen nebula                  	I2948	
177.4988	+89.1168	 3172	 Gx	11 50.0	+89 07	s	UMi	 	  0.7	13.6	 	vF, R, gbM, *11 s 2', Polarissima Borealis        	Polarissima Borealis               	 3172	
177.5753	-57.1834	 3918	 Pl	11 50.3	-57 11	s	Cen	 	  0.2	 8.0	p	PN , !, S, R, blue, = *7, d = 1s .5               	Blue planetary                     	 3918	
179.4003	+53.3834	 3992	 Gx	11 57.6	+53 23	s	UMa	 	  7.6	 9.8	 	cB, vL, pmE, sbMBrN; = M109                       	M 109                              	 3992	
180.4753	-18.8667	 4038	 Gx	12 01.9	-18 52	s	Crv	 	  2.6	10.7	 	pB, cL, R, vgbM                                   	Antennae                           	 4038	4038-9
180.4753	-18.8834	 4039	 Gx	12 01.9	-18 53	s	Crv	 	  3.2	13.0	p	pF, pL                                            	Antennae                           	 4039	4038-9
183.0503	+29.1667	 4169	 Gx	12 12.2	+29 10	s	Com	 	  2.1	13.0	p	F, S, 1st of 4                                    	Box                                	 4169	NGC 4169, 73-5
183.0753	+29.1834	 4173	 Gx	12 12.3	+29 11	s	Com	 	  4.8	13.0	p	F, S, 2nd of 4                                    	Box                                	 4173	NGC 4169, 73-5
183.1003	+29.1334	 4174	 Gx	12 12.4	+29 08	s	Com	 	  0.8	14.0	p	F, S, 3rd of 4                                    	Box                                	 4174	NGC 4169, 73-5
183.1253	+29.1501	 4175	 Gx	12 12.5	+29 09	s	Com	 	  2.0	14.0	p	F, eS, 4th of 4                                   	Box                                	 4175	NGC 4169, 73-5
183.4503	+14.9000	 4192	 Gx	12 13.8	+14 54	s	Com	 	  9.5	10.1	 	B, vL, vmE 152deg , vsvmbM; = M98                 	M  98                              	 4192	
